[18/11/2018 08:17:12], epoch: 1, t/smpl: 0.035s, net_loss: -0.873 
[18/11/2018 08:17:45], epoch: 2, t/smpl: 0.004s, net_loss: -0.986 
[18/11/2018 08:18:07], epoch: 3, t/smpl: 0.003s, net_loss: -0.993 
[18/11/2018 08:18:29], epoch: 4, t/smpl: 0.023s, net_loss: -0.995 
[18/11/2018 08:18:53], epoch: 5, t/smpl: 0.035s, net_loss: -0.997 
[18/11/2018 08:19:17], epoch: 6, t/smpl: 0.003s, net_loss: -0.997 
[18/11/2018 08:19:39], epoch: 7, t/smpl: 0.003s, net_loss: -0.998 
[18/11/2018 08:20:01], epoch: 8, t/smpl: 0.003s, net_loss: -0.998 
[18/11/2018 08:20:23], epoch: 9, t/smpl: 0.035s, net_loss: -0.998 
[18/11/2018 08:20:44], epoch: 10, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:21:06], epoch: 11, t/smpl: 0.036s, net_loss: -0.999 
[18/11/2018 08:21:28], epoch: 12, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:21:50], epoch: 13, t/smpl: 0.004s, net_loss: -0.999 
[18/11/2018 08:22:14], epoch: 14, t/smpl: 0.004s, net_loss: -0.999 
[18/11/2018 08:22:38], epoch: 15, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:23:04], epoch: 16, t/smpl: 0.004s, net_loss: -0.999 
[18/11/2018 08:23:30], epoch: 17, t/smpl: 0.005s, net_loss: -0.999 
[18/11/2018 08:23:54], epoch: 18, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:24:18], epoch: 19, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:24:43], epoch: 20, t/smpl: 0.003s, net_loss: -0.999 
[18/11/2018 08:25:07], epoch: 21, t/smpl: 0.004s, net_loss: -0.999 
[18/11/2018 08:25:31], epoch: 22, t/smpl: 0.005s, net_loss: -1.000 
[18/11/2018 08:25:55], epoch: 23, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:26:20], epoch: 24, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:26:44], epoch: 25, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:27:08], epoch: 26, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:27:32], epoch: 27, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:27:57], epoch: 28, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:28:21], epoch: 29, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:28:45], epoch: 30, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:29:10], epoch: 31, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:29:34], epoch: 32, t/smpl: 0.005s, net_loss: -1.000 
[18/11/2018 08:29:58], epoch: 33, t/smpl: 0.002s, net_loss: -1.000 
[18/11/2018 08:30:22], epoch: 34, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:30:47], epoch: 35, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:31:11], epoch: 36, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:31:36], epoch: 37, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:31:58], epoch: 38, t/smpl: 0.018s, net_loss: -1.000 
[18/11/2018 08:32:19], epoch: 39, t/smpl: 0.025s, net_loss: -1.000 
[18/11/2018 08:32:40], epoch: 40, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:33:01], epoch: 41, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:33:24], epoch: 42, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:33:47], epoch: 43, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:34:08], epoch: 44, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:34:29], epoch: 45, t/smpl: 0.014s, net_loss: -1.000 
[18/11/2018 08:34:50], epoch: 46, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:35:11], epoch: 47, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:35:33], epoch: 48, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:35:54], epoch: 49, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:36:15], epoch: 50, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:36:36], epoch: 51, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:36:57], epoch: 52, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:37:19], epoch: 53, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:37:40], epoch: 54, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:38:01], epoch: 55, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:38:22], epoch: 56, t/smpl: 0.011s, net_loss: -1.000 
[18/11/2018 08:38:44], epoch: 57, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:39:05], epoch: 58, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:39:26], epoch: 59, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:39:48], epoch: 60, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:40:09], epoch: 61, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:40:30], epoch: 62, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:40:51], epoch: 63, t/smpl: 0.030s, net_loss: -1.000 
[18/11/2018 08:41:12], epoch: 64, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 08:41:33], epoch: 65, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:41:54], epoch: 66, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 08:42:15], epoch: 67, t/smpl: 0.026s, net_loss: -1.000 
[18/11/2018 08:42:36], epoch: 68, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:42:57], epoch: 69, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:43:20], epoch: 70, t/smpl: 0.018s, net_loss: -1.000 
[18/11/2018 08:43:42], epoch: 71, t/smpl: 0.002s, net_loss: -1.000 
[18/11/2018 08:44:03], epoch: 72, t/smpl: 0.035s, net_loss: -1.000 
