[16/11/2018 21:35:33], epoch: 1, t/smpl: 0.016s, net_loss: 0.588 
[16/11/2018 21:35:57], epoch: 2, t/smpl: 0.062s, net_loss: 0.552 
[16/11/2018 21:36:20], epoch: 3, t/smpl: 0.047s, net_loss: 0.538 
[16/11/2018 21:36:43], epoch: 4, t/smpl: 0.000s, net_loss: 0.530 
[16/11/2018 21:37:06], epoch: 5, t/smpl: 0.000s, net_loss: 0.525 
[16/11/2018 21:37:31], epoch: 6, t/smpl: 0.016s, net_loss: 0.518 
[16/11/2018 21:37:54], epoch: 7, t/smpl: 0.000s, net_loss: 0.514 
[16/11/2018 21:38:18], epoch: 8, t/smpl: 0.000s, net_loss: 0.508 
[16/11/2018 21:38:42], epoch: 9, t/smpl: 0.000s, net_loss: 0.505 
[16/11/2018 21:39:05], epoch: 10, t/smpl: 0.000s, net_loss: 0.503 
[16/11/2018 21:39:29], epoch: 11, t/smpl: 0.000s, net_loss: 0.499 
[16/11/2018 21:39:53], epoch: 12, t/smpl: 0.000s, net_loss: 0.496 
[16/11/2018 21:40:17], epoch: 13, t/smpl: 0.047s, net_loss: 0.495 
[16/11/2018 21:40:40], epoch: 14, t/smpl: 0.000s, net_loss: 0.493 
[16/11/2018 21:41:07], epoch: 15, t/smpl: 0.008s, net_loss: 0.493 
[16/11/2018 21:41:34], epoch: 16, t/smpl: 0.016s, net_loss: 0.490 
[16/11/2018 21:42:02], epoch: 17, t/smpl: 0.005s, net_loss: 0.490 
[16/11/2018 21:42:25], epoch: 18, t/smpl: 0.016s, net_loss: 0.487 
[16/11/2018 21:42:49], epoch: 19, t/smpl: 0.016s, net_loss: 0.487 
[16/11/2018 21:43:14], epoch: 20, t/smpl: 0.000s, net_loss: 0.485 
[16/11/2018 21:43:39], epoch: 21, t/smpl: 0.004s, net_loss: 0.484 
[16/11/2018 21:44:05], epoch: 22, t/smpl: 0.004s, net_loss: 0.485 
[16/11/2018 21:44:31], epoch: 23, t/smpl: 0.016s, net_loss: 0.482 
[16/11/2018 21:44:55], epoch: 24, t/smpl: 0.004s, net_loss: 0.482 
[16/11/2018 21:45:18], epoch: 25, t/smpl: 0.004s, net_loss: 0.481 
[16/11/2018 21:45:42], epoch: 26, t/smpl: 0.004s, net_loss: 0.481 
[16/11/2018 21:46:07], epoch: 27, t/smpl: 0.003s, net_loss: 0.480 
[16/11/2018 21:46:31], epoch: 28, t/smpl: 0.004s, net_loss: 0.478 
[16/11/2018 21:46:54], epoch: 29, t/smpl: 0.000s, net_loss: 0.479 
[16/11/2018 21:47:22], epoch: 30, t/smpl: 0.016s, net_loss: 0.477 
[16/11/2018 21:47:46], epoch: 31, t/smpl: 0.047s, net_loss: 0.479 
[16/11/2018 21:48:11], epoch: 32, t/smpl: 0.003s, net_loss: 0.478 
[16/11/2018 21:48:40], epoch: 33, t/smpl: 0.016s, net_loss: 0.477 
[16/11/2018 21:49:10], epoch: 34, t/smpl: 0.000s, net_loss: 0.476 
[16/11/2018 21:49:34], epoch: 35, t/smpl: 0.000s, net_loss: 0.475 
[16/11/2018 21:49:58], epoch: 36, t/smpl: 0.000s, net_loss: 0.476 
[16/11/2018 21:50:22], epoch: 37, t/smpl: 0.000s, net_loss: 0.475 
[16/11/2018 21:50:45], epoch: 38, t/smpl: 0.000s, net_loss: 0.473 
[16/11/2018 21:51:08], epoch: 39, t/smpl: 0.004s, net_loss: 0.474 
[16/11/2018 21:51:33], epoch: 40, t/smpl: 0.000s, net_loss: 0.475 
[16/11/2018 21:51:56], epoch: 41, t/smpl: 0.000s, net_loss: 0.473 
[16/11/2018 21:52:20], epoch: 42, t/smpl: 0.000s, net_loss: 0.472 
[16/11/2018 21:52:43], epoch: 43, t/smpl: 0.016s, net_loss: 0.472 
[16/11/2018 21:53:07], epoch: 44, t/smpl: 0.000s, net_loss: 0.472 
[16/11/2018 21:53:31], epoch: 45, t/smpl: 0.004s, net_loss: 0.472 
[16/11/2018 21:53:55], epoch: 46, t/smpl: 0.047s, net_loss: 0.472 
[16/11/2018 21:54:19], epoch: 47, t/smpl: 0.000s, net_loss: 0.472 
[16/11/2018 21:54:44], epoch: 48, t/smpl: 0.000s, net_loss: 0.470 
[16/11/2018 21:55:08], epoch: 49, t/smpl: 0.000s, net_loss: 0.471 
