[07/11/2018 00:11:22], epoch: 1, t/smpl: 0.000s, net_loss: 0.074 
[07/11/2018 00:11:24], epoch: 2, t/smpl: 0.000s, net_loss: 0.074 
[07/11/2018 00:11:26], epoch: 3, t/smpl: 0.000s, net_loss: 0.073 
[07/11/2018 00:11:29], epoch: 4, t/smpl: 0.004s, net_loss: 0.073 
[07/11/2018 00:11:31], epoch: 5, t/smpl: 0.004s, net_loss: 0.072 
[07/11/2018 00:11:33], epoch: 6, t/smpl: 0.000s, net_loss: 0.072 
[07/11/2018 00:11:35], epoch: 7, t/smpl: 0.004s, net_loss: 0.072 
[07/11/2018 00:11:38], epoch: 8, t/smpl: 0.003s, net_loss: 0.071 
[07/11/2018 00:11:40], epoch: 9, t/smpl: 0.003s, net_loss: 0.071 
[07/11/2018 00:11:42], epoch: 10, t/smpl: 0.036s, net_loss: 0.070 
[07/11/2018 00:11:45], epoch: 11, t/smpl: 0.004s, net_loss: 0.070 
[07/11/2018 00:11:47], epoch: 12, t/smpl: 0.003s, net_loss: 0.069 
[07/11/2018 00:11:49], epoch: 13, t/smpl: 0.005s, net_loss: 0.069 
[07/11/2018 00:11:52], epoch: 14, t/smpl: 0.003s, net_loss: 0.069 
[07/11/2018 00:12:02], epoch: 14, t/smpl: 0.000s, net_loss: 0.043 
[07/11/2018 00:12:34], epoch: 14, t/smpl: 0.002s, net_loss: 0.043 
[07/11/2018 00:12:37], epoch: 15, t/smpl: 0.000s, net_loss: 0.042 
[07/11/2018 00:12:40], epoch: 16, t/smpl: 0.000s, net_loss: 0.042 
[07/11/2018 00:12:42], epoch: 17, t/smpl: 0.002s, net_loss: 0.041 
[07/11/2018 00:12:45], epoch: 18, t/smpl: 0.016s, net_loss: 0.040 
[07/11/2018 00:12:48], epoch: 19, t/smpl: 0.000s, net_loss: 0.040 
[07/11/2018 00:12:50], epoch: 20, t/smpl: 0.002s, net_loss: 0.039 
[07/11/2018 00:12:53], epoch: 21, t/smpl: 0.016s, net_loss: 0.039 
[07/11/2018 00:12:56], epoch: 22, t/smpl: 0.002s, net_loss: 0.038 
[07/11/2018 00:12:58], epoch: 23, t/smpl: 0.000s, net_loss: 0.038 
[07/11/2018 00:13:01], epoch: 24, t/smpl: 0.000s, net_loss: 0.037 
[07/11/2018 00:13:03], epoch: 25, t/smpl: 0.003s, net_loss: 0.037 
[07/11/2018 00:13:06], epoch: 26, t/smpl: 0.003s, net_loss: 0.036 
[07/11/2018 00:13:09], epoch: 27, t/smpl: 0.000s, net_loss: 0.036 
[07/11/2018 00:13:12], epoch: 28, t/smpl: 0.000s, net_loss: 0.035 
[07/11/2018 00:13:25], epoch: 29, t/smpl: 0.016s, net_loss: 0.035 
[07/11/2018 00:13:27], epoch: 30, t/smpl: 0.002s, net_loss: 0.034 
[07/11/2018 00:13:30], epoch: 31, t/smpl: 0.001s, net_loss: 0.034 
[07/11/2018 00:13:33], epoch: 32, t/smpl: 0.002s, net_loss: 0.033 
[07/11/2018 00:13:36], epoch: 33, t/smpl: 0.000s, net_loss: 0.033 
[07/11/2018 00:13:38], epoch: 34, t/smpl: 0.002s, net_loss: 0.032 
[07/11/2018 00:13:41], epoch: 35, t/smpl: 0.000s, net_loss: 0.032 
[07/11/2018 00:13:44], epoch: 36, t/smpl: 0.003s, net_loss: 0.031 
[07/11/2018 00:13:47], epoch: 37, t/smpl: 0.000s, net_loss: 0.031 
[07/11/2018 00:13:49], epoch: 38, t/smpl: 0.002s, net_loss: 0.030 
[07/11/2018 00:13:52], epoch: 39, t/smpl: 0.016s, net_loss: 0.030 
[07/11/2018 00:13:55], epoch: 40, t/smpl: 0.000s, net_loss: 0.029 
[07/11/2018 00:13:57], epoch: 41, t/smpl: 0.016s, net_loss: 0.029 
[07/11/2018 00:14:00], epoch: 42, t/smpl: 0.000s, net_loss: 0.028 
[07/11/2018 00:14:03], epoch: 43, t/smpl: 0.002s, net_loss: 0.028 
[07/11/2018 00:14:05], epoch: 44, t/smpl: 0.002s, net_loss: 0.027 
[07/11/2018 00:14:08], epoch: 45, t/smpl: 0.035s, net_loss: 0.027 
[07/11/2018 00:14:11], epoch: 46, t/smpl: 0.000s, net_loss: 0.027 
